epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1034.12,1.4734,0.79565,1.24848,0.89306,0.8587,0.92643,0.47441,1.85912,0.81099,1.48503,0.0011684,0.0011684,0.0011684
44,1055.41,1.45318,0.77098,1.23958,0.89647,0.84783,0.92812,0.46648,1.85473,0.85059,1.49303,0.0011486,0.0011486,0.0011486
45,1080.38,1.41824,0.76652,1.17785,0.88337,0.8913,0.92114,0.47614,1.76244,0.89643,1.42596,0.0011288,0.0011288,0.0011288
46,1103.97,1.47009,0.78771,1.21192,0.86841,0.86081,0.91292,0.45916,1.84329,0.92791,1.49779,0.001109,0.001109,0.001109
47,1126.69,1.43585,0.78906,1.2036,0.90117,0.84783,0.92318,0.48273,1.76257,0.85302,1.42498,0.0010892,0.0010892,0.0010892
48,1149.82,1.42952,0.75526,1.22041,0.8786,0.86957,0.90813,0.47322,1.71266,0.79695,1.39588,0.0010694,0.0010694,0.0010694
49,1171.71,1.40147,0.75804,1.19407,0.90644,0.84246,0.89664,0.46511,1.70528,0.84199,1.35882,0.0010496,0.0010496,0.0010496
50,1195.01,1.43902,0.75555,1.21329,0.9246,0.83696,0.90993,0.44459,1.80478,0.81737,1.43557,0.0010298,0.0010298,0.0010298
51,1218.45,1.37504,0.73801,1.2108,0.87209,0.88931,0.91873,0.47947,1.74748,0.79216,1.41211,0.00101,0.00101,0.00101
52,1240.45,1.38709,0.73428,1.1916,0.86733,0.83696,0.89589,0.44836,1.7419,0.83513,1.37473,0.0009902,0.0009902,0.0009902
53,1262.71,1.32184,0.72275,1.16513,0.94523,0.86957,0.91826,0.45354,1.91274,0.79953,1.47774,0.0009704,0.0009704,0.0009704
54,1285.27,1.33436,0.73196,1.15172,0.94028,0.8587,0.90036,0.46064,1.80632,0.81223,1.43871,0.0009506,0.0009506,0.0009506
55,1307.11,1.3556,0.72198,1.17879,0.95074,0.83696,0.92008,0.46749,1.86204,0.79814,1.54001,0.0009308,0.0009308,0.0009308
56,1331.08,1.35757,0.71935,1.17744,0.9078,0.85618,0.9142,0.44808,2.01296,0.85061,1.63601,0.000911,0.000911,0.000911
57,1352.12,1.32738,0.72862,1.19746,0.90969,0.87591,0.93871,0.45924,1.84248,0.80626,1.48466,0.0008912,0.0008912,0.0008912
58,1376.41,1.36667,0.73409,1.17861,0.91079,0.8878,0.92745,0.44862,1.84592,0.76352,1.48767,0.0008714,0.0008714,0.0008714
59,1397.92,1.31577,0.68433,1.16236,0.90815,0.85975,0.92535,0.4717,1.63745,0.74468,1.35648,0.0008516,0.0008516,0.0008516
60,1420.86,1.28385,0.68345,1.14304,0.90402,0.8587,0.93278,0.46098,1.79954,0.76305,1.42447,0.0008318,0.0008318,0.0008318
61,1442.18,1.30592,0.68588,1.13504,0.91587,0.84783,0.91832,0.42948,1.82873,0.77248,1.46885,0.000812,0.000812,0.000812
62,1463.76,1.26509,0.68046,1.14152,0.96098,0.80309,0.92264,0.46342,1.70557,0.83634,1.38624,0.0007922,0.0007922,0.0007922
63,1486.38,1.31852,0.69233,1.16667,0.87861,0.8654,0.91852,0.45845,1.82976,0.91589,1.50839,0.0007724,0.0007724,0.0007724
64,1510.51,1.29471,0.69075,1.14857,0.93403,0.8587,0.92423,0.46412,1.78857,0.81934,1.42931,0.0007526,0.0007526,0.0007526
65,1531.59,1.28132,0.67952,1.15679,1,0.83626,0.92678,0.47036,1.77803,0.76933,1.41797,0.0007328,0.0007328,0.0007328
66,1555.16,1.27274,0.66949,1.14365,0.94223,0.88646,0.9247,0.45776,1.75207,0.76024,1.4252,0.000713,0.000713,0.000713
67,1577.66,1.26359,0.67389,1.13718,0.9302,0.86917,0.93563,0.46756,1.82397,0.7484,1.49234,0.0006932,0.0006932,0.0006932
68,1600.87,1.21304,0.65073,1.10574,0.9169,0.83959,0.90577,0.46059,1.77981,0.82186,1.41228,0.0006734,0.0006734,0.0006734
69,1626.82,1.23348,0.65502,1.10427,0.90074,0.84783,0.90646,0.46265,1.76574,0.81213,1.39592,0.0006536,0.0006536,0.0006536
70,1648.57,1.19358,0.63837,1.11515,0.91097,0.82609,0.90866,0.47349,1.69543,0.73769,1.39624,0.0006338,0.0006338,0.0006338
71,1669.87,1.2106,0.65131,1.10339,0.89717,0.85355,0.90369,0.46606,1.66403,0.75408,1.38102,0.000614,0.000614,0.000614
72,1693.05,1.22873,0.63764,1.10265,0.91086,0.83696,0.92481,0.46152,1.72692,0.803,1.42265,0.0005942,0.0005942,0.0005942
73,1714.58,1.19618,0.62719,1.09933,0.90048,0.86957,0.91849,0.46838,1.69107,0.79338,1.36796,0.0005744,0.0005744,0.0005744
74,1737.75,1.1924,0.6341,1.08171,0.89082,0.86957,0.9127,0.45131,1.73623,0.80398,1.37523,0.0005546,0.0005546,0.0005546
75,1761.33,1.19198,0.6191,1.08428,0.9093,0.88043,0.91854,0.46658,1.70333,0.79492,1.37209,0.0005348,0.0005348,0.0005348
76,1783.76,1.14796,0.61708,1.06055,0.9301,0.86784,0.92513,0.47666,1.75212,0.79479,1.41536,0.000515,0.000515,0.000515
77,1805,1.17811,0.61523,1.09498,0.92844,0.88043,0.92593,0.46958,1.795,0.75239,1.4395,0.0004952,0.0004952,0.0004952
78,1828.24,1.11167,0.6001,1.0552,0.93886,0.83457,0.91445,0.45102,1.84839,0.77452,1.46747,0.0004754,0.0004754,0.0004754
79,1851.27,1.11706,0.6001,1.05477,0.92857,0.84784,0.92854,0.46441,1.63668,0.76284,1.3341,0.0004556,0.0004556,0.0004556
80,1874.14,1.1269,0.59113,1.05462,0.94166,0.87717,0.93689,0.46618,1.81861,0.79223,1.46305,0.0004358,0.0004358,0.0004358
81,1899.34,1.1328,0.61715,1.07815,0.93057,0.88043,0.9245,0.46827,1.69348,0.74074,1.38163,0.000416,0.000416,0.000416
82,1919.36,1.10679,0.57917,1.05562,0.92209,0.88043,0.92356,0.47377,1.69118,0.73364,1.39081,0.0003962,0.0003962,0.0003962
83,1942.22,1.12776,0.58173,1.05436,0.93583,0.88043,0.92467,0.4766,1.74376,0.72534,1.42826,0.0003764,0.0003764,0.0003764
84,1964.53,1.11654,0.59617,1.0599,0.93792,0.8587,0.92236,0.46325,1.73904,0.76789,1.39654,0.0003566,0.0003566,0.0003566
85,1987.39,1.0858,0.59745,1.04868,0.90166,0.86957,0.92644,0.47213,1.79964,0.78164,1.45502,0.0003368,0.0003368,0.0003368
86,2011.13,1.11736,0.59009,1.07636,0.92843,0.84607,0.92768,0.48763,1.63883,0.83233,1.34625,0.000317,0.000317,0.000317
87,2033.16,1.03912,0.56064,1.02213,0.9287,0.8587,0.92088,0.48281,1.58773,0.80894,1.33744,0.0002972,0.0002972,0.0002972
88,2056.9,1.05431,0.5577,1.05046,0.92976,0.86331,0.92286,0.47606,1.61419,0.79313,1.33773,0.0002774,0.0002774,0.0002774
89,2081.32,1.09087,0.58895,1.04627,0.94105,0.86762,0.91915,0.47781,1.68136,0.80059,1.3599,0.0002576,0.0002576,0.0002576
90,2105.4,1.09265,0.57831,1.03718,0.94042,0.85785,0.91128,0.46268,1.77389,0.82285,1.41194,0.0002378,0.0002378,0.0002378
91,2127.51,1.031,0.53957,1.01582,0.90675,0.86957,0.90552,0.46084,1.7088,0.82408,1.36926,0.000218,0.000218,0.000218
92,2149.18,1.0267,0.52358,1.01532,0.92207,0.86957,0.91318,0.45891,1.79596,0.8056,1.44582,0.0001982,0.0001982,0.0001982
93,2171.04,1.01021,0.52931,1.01579,0.91005,0.87976,0.91986,0.47377,1.75857,0.76512,1.43922,0.0001784,0.0001784,0.0001784
94,2193.25,1.01617,0.50505,1.02442,0.93167,0.88926,0.92838,0.46353,1.706,0.75144,1.40115,0.0001586,0.0001586,0.0001586
95,2216.56,0.97194,0.50818,0.98434,0.94214,0.88499,0.92627,0.46595,1.82183,0.74732,1.47694,0.0001388,0.0001388,0.0001388
96,2237.39,0.97343,0.51279,1.01074,0.9214,0.89196,0.92938,0.47932,1.75864,0.75909,1.44737,0.000119,0.000119,0.000119
97,2259.49,0.95369,0.49628,0.98262,0.92107,0.86957,0.92458,0.47576,1.73046,0.76726,1.418,9.92e-05,9.92e-05,9.92e-05
98,2282.84,0.97313,0.49866,0.99463,0.92109,0.86957,0.9253,0.47683,1.73167,0.76011,1.41146,7.94e-05,7.94e-05,7.94e-05
99,2308.27,0.93803,0.49366,0.99154,0.9327,0.88043,0.93135,0.4777,1.74948,0.74907,1.42957,5.96e-05,5.96e-05,5.96e-05
100,2329.13,0.96688,0.49011,1.01684,0.93144,0.88043,0.93008,0.47258,1.74926,0.75523,1.4272,3.98e-05,3.98e-05,3.98e-05
